run,cycles,instructions,rx_packets,cycles_per_pkt,instructions_per_pkt
1,3776244306,5133259065,20090659,187.9602,255.5048
2,3771156717,5129240712,20089846,187.7146,255.3151
3,3758965000,5120431713,20092701,187.0811,254.8404
4,3768227437,5125795834,20087760,187.5882,255.1701
5,3767623284,5127432777,20090120,187.5361,255.2216
6,3771789892,5128940133,20085914,187.7828,255.3501
7,3778610586,5136166863,20087704,188.1056,255.6871
8,3765621025,5126571591,20092184,187.4172,255.1525
9,3766212050,5125649460,20090994,187.4577,255.1217
10,3772946144,5128425002,20092203,187.7816,255.2445
