run,cycles,instructions,rx_packets,cycles_per_pkt,instructions_per_pkt
1,4110343837,5558382633,20090408,204.5924,276.6685
2,4095286246,5548366159,20092615,203.8205,276.1396
3,4112845949,5558292399,20088726,204.7340,276.6872
4,4115422345,5557939316,20090128,204.8480,276.6503
5,4113050096,5557579388,20086266,204.7693,276.6855
6,4105679623,5551371949,20092208,204.3419,276.2948
7,4105118109,5548627264,20085301,204.3842,276.2531
8,4124276067,5562066841,20090288,205.2871,276.8535
9,4116743890,5557221325,20087072,204.9449,276.6566
10,4112128370,5553093778,20091579,204.6692,276.3891
