run,cycles,instructions,rx_packets,cycles_per_pkt,instructions_per_pkt
1,3840758803,5403533429,20094743,191.1325,268.9028
2,3851328286,5408764433,20090901,191.6952,269.2146
3,3860364112,5416011503,20090929,192.1446,269.5750
4,3835934859,5405988813,20090311,190.9346,269.0844
5,3852556455,5412934817,20088927,191.7751,269.4487
6,3860969437,5416866870,20090544,192.1784,269.6227
7,3847388699,5406348376,20088583,191.5212,269.1254
8,3858334255,5411883044,20089896,192.0535,269.3833
9,3848609061,5408054721,20091418,191.5549,269.1724
10,3855259799,5413353976,20089466,191.9045,269.4623
